OmegaLw,OmegaRw,X_GPS,Y_GPS,Theta_GPS,Theta_Mag,V_GPS,Omega_Gyro
5.6196428571,5.5396428571,559911.695,6319412.54,5.81639,5.81639,1.793713,0.009425
5.6196428571,5.5396428571,559911.81644,6319412.5418,5.814458,5.814458,1.783939,0.004189
5.6196428571,5.5396428571,559911.81644,6319412.5418,5.814458,5.814458,1.783939,0.005236
5.6196428571,5.5396428571,559911.81644,6319412.5418,5.814458,5.814458,1.783939,0.006283
5.6196428571,5.5396428571,559911.81644,6319412.5418,5.814458,5.814458,1.783939,0.000873
5.6196428571,5.5396428571,559911.87716,6319412.5427,5.81364,5.81364,1.784968,0.00733
5.5396428571,5.5383928571,559911.87716,6319412.5427,5.81364,5.81364,1.784968,0.003142
5.5396428571,5.5971428571,559911.87716,6319412.5427,5.81364,5.81364,1.784968,0.00192
5.5396428571,5.5971428571,559911.93949,6319412.4322,5.81364,5.81364,1.74896,0.006283
5.5396428571,5.5971428571,559911.93949,6319412.4322,5.811536,5.811536,1.74896,0.000873
5.5396428571,5.5971428571,559911.93949,6319412.4322,5.811536,5.811536,1.74896,0.014835
5.5396428571,5.5971428571,559911.93949,6319412.4322,5.811536,5.811536,1.74896,-0.002269
5.5873214286,5.6226785714,559912.00021,6319412.4331,5.811536,5.811536,1.696491,-0.001222
5.5873214286,5.5348214286,559912.06094,6319412.434,5.807189,5.807189,1.674372,-0.001222
5.5873214286,5.5348214286,559912.06094,6319412.434,5.807189,5.807189,1.674372,-0.006458
5.5873214286,5.5348214286,559912.06094,6319412.434,5.805679,5.805679,1.674372,0.005236
5.5873214286,5.5348214286,559912.06094,6319412.434,5.805679,5.805679,1.674372,-0.005411
5.5873214286,5.5348214286,559912.18238,6319412.4358,5.805679,5.805679,1.63785,-0.003316
4.9235714286,4.9246428571,559912.18238,6319412.4358,5.805679,5.805679,1.63785,-0.010821
4.9235714286,4.9246428571,559912.18238,6319412.4358,5.803977,5.803977,1.63785,-0.017104
4.9235714286,4.9246428571,559912.18238,6319412.4358,5.803977,5.803977,1.63785,-0.002269
4.9235714286,4.9246428571,559912.2431,6319412.4366,5.803977,5.803977,1.62036,-0.004363
4.9235714286,4.9246428571,559912.2431,6319412.4366,5.803977,5.803977,1.62036,-0.005411
4.9235714286,4.9246428571,559912.2431,6319412.4366,5.803977,5.803977,1.62036,-0.005411
4.9235714286,4.9246428571,559912.30543,6319412.3262,5.803411,5.803411,1.589496,0.011519
4.8914285714,4.925,559912.30543,6319412.3262,5.803411,5.803411,1.589496,0.013788
